price,name,sold,img,link
450,"Bath and Body Works Mist, Plumeria, 236ml",,https://down-ph.img.susercontent.com/file/700ac972910f78fb19ff2b10823df709_tn,https://shopee.ph/Bath-and-Body-Works-Mist-Plumeria-236ml-i.67102570.18417987921?sp_atk=75006fd1-0a65-4c5c-b6e4-c6a9c2b9ab5a&xptdk=75006fd1-0a65-4c5c-b6e4-c6a9c2b9ab5a
510,"Bath and Body Works Mist, Twinkling Midnight Sky, 236ml",,https://down-ph.img.susercontent.com/file/8a1029dacd9e2b2cf61e8b5d8e579ddf_tn,https://shopee.ph/Bath-and-Body-Works-Mist-Twinkling-Midnight-Sky-236ml-i.67102570.18610536006?sp_atk=762c76d3-c1f8-401b-901d-6dfdaff01ac5&xptdk=762c76d3-c1f8-401b-901d-6dfdaff01ac5
499,"Original Bath and Body Works Mist, Sunkissed, 236ml",,https://down-ph.img.susercontent.com/file/76f84444c971c9fa7658038e37730e2b_tn,https://shopee.ph/Original-Bath-and-Body-Works-Mist-Sunkissed-236ml-i.67102570.20116377999?sp_atk=025e7eac-ea5d-4cbd-b101-2b39f8a6e95c&xptdk=025e7eac-ea5d-4cbd-b101-2b39f8a6e95c
550,"Original Bath and Body Works Mist, Firecracker Pop, 236ml",,https://down-ph.img.susercontent.com/file/228d1c9f0a648b787902d95cce59f577_tn,https://shopee.ph/Original-Bath-and-Body-Works-Mist-Firecracker-Pop-236ml-i.67102570.21818162694?sp_atk=808e2ad5-bab2-4af3-abd7-e32b4083082c&xptdk=808e2ad5-bab2-4af3-abd7-e32b4083082c
529,"Bath and Body Works Mist, Rose, 236ml",,https://down-ph.img.susercontent.com/file/b7bade87409d77154973f952c9aac32a_tn,https://shopee.ph/Bath-and-Body-Works-Mist-Rose-236ml-i.67102570.17577516754?sp_atk=3f11115c-e8b7-4175-8634-b98ae4bd3261&xptdk=3f11115c-e8b7-4175-8634-b98ae4bd3261
550,"Bath and Body Works Champagne Apple & Honey, Fragrance Mist, 236ml",,https://down-ph.img.susercontent.com/file/sg-11134201-22110-k141f9igzljvfa_tn,https://shopee.ph/Bath-and-Body-Works-Champagne-Apple-Honey-Fragrance-Mist-236ml-i.67102570.20860751923?sp_atk=2f5ce49b-2145-4509-9d30-a9218e7e114d&xptdk=2f5ce49b-2145-4509-9d30-a9218e7e114d
520,"Original Bath and Body Works Mist, Sunshine Mimosa, 236ml",,https://down-ph.img.susercontent.com/file/c827acd864be479276fdc9a42fcf7b74_tn,https://shopee.ph/Original-Bath-and-Body-Works-Mist-Sunshine-Mimosa-236ml-i.67102570.19016376120?sp_atk=876d344d-ccc9-45ad-bb2b-0f3a002191e7&xptdk=876d344d-ccc9-45ad-bb2b-0f3a002191e7
495,"Certain Dri Prescription Strength Roll-on Antiperspirant, 1.2 fl oz/35ml",,https://down-ph.img.susercontent.com/file/552c69939ae51b99ca2275b42c40f17a_tn,https://shopee.ph/Certain-Dri-Prescription-Strength-Roll-on-Antiperspirant-1.2-fl-oz-35ml-i.67102570.16777294236?sp_atk=5e5b48a2-f071-4e46-9caa-86743a8e6296&xptdk=5e5b48a2-f071-4e46-9caa-86743a8e6296
585,"Bath and Body Works Mist, Butterfly, 236ml",,https://down-ph.img.susercontent.com/file/a894f1f0d73a7cc351d627ae4b184e35_tn,https://shopee.ph/Bath-and-Body-Works-Mist-Butterfly-236ml-i.67102570.16378004093?sp_atk=673c7d6a-a844-4d11-b04b-adbfeb25b31e&xptdk=673c7d6a-a844-4d11-b04b-adbfeb25b31e
510,"Original Bath and Body Works Mist, Happy Vibes, 236ml",,https://down-ph.img.susercontent.com/file/98494025554c8e45aded90f6ee833fd0_tn,https://shopee.ph/Original-Bath-and-Body-Works-Mist-Happy-Vibes-236ml-i.67102570.21818608621?sp_atk=a35c9430-7d8e-4237-b1a2-0f8f8b793191&xptdk=a35c9430-7d8e-4237-b1a2-0f8f8b793191
